E,time_factor,removal,T,iteration,obj_val,A,y_nonzero,time,zeta_nonzero,M,hitting_M
5,2,true,48,1,36160.873275500635,396,171,0.898542167,11662,1.0e7,false
5,2,true,48,2,36160.87327550064,599,176,0.114883959,11417,1.0e7,false
5,2,true,48,3,36160.87327550065,795,205,0.251416,11662,1.0e7,false
5,2,true,48,4,36160.873275500635,899,193,0.252956416,11662,1.0e7,false
5,2,true,48,5,36160.87327550064,1038,206,0.257324375,11662,1.0e7,false
5,2,true,48,6,36160.87327550069,1067,213,0.313966792,11662,1.0e7,false
5,2,true,48,7,36160.873275500686,1210,218,0.278979584,11662,1.0e7,false
5,2,true,48,8,36160.87327550064,1206,208,0.239600875,11662,1.0e7,false
5,2,true,48,9,36160.873275500606,1273,213,0.375039125,11662,1.0e7,false
5,2,true,48,10,36160.873275500635,1347,229,0.479169333,11662,1.0e7,false
5,2,true,48,11,36160.873275500664,1355,226,0.505384,11662,1.0e7,false
5,2,true,48,12,36160.87327550062,1384,233,0.480858167,11662,1.0e7,false
5,2,true,48,13,36160.87327550063,1414,212,0.475215,11662,1.0e7,false
5,2,true,48,14,36160.87327550062,1429,236,0.464230458,11662,1.0e7,false
5,2,true,48,15,36160.87327550062,1434,232,0.488673167,11662,1.0e7,false
5,2,true,48,16,36160.87327550062,1459,237,0.544865791,11662,1.0e7,false
5,2,true,48,17,36160.87327550061,1467,228,0.560741333,11662,1.0e7,false
5,2,true,48,18,36160.87327550065,1493,216,0.450850583,11662,1.0e7,false
5,2,true,48,19,36160.87327550065,1504,220,0.510674042,11662,1.0e7,false
5,2,true,48,20,36160.87327550066,1512,238,0.537435833,11662,1.0e7,false
5,2,true,48,21,36160.87327550063,1522,224,0.566283459,11662,1.0e7,false
5,2,true,48,22,36160.87327550061,1529,245,0.618765167,11662,1.0e7,false
5,2,true,48,23,36160.87327550061,1533,237,0.561858167,11662,1.0e7,false
5,2,true,48,24,36160.87327550063,1540,236,0.549448041,11662,1.0e7,false
5,2,true,48,25,36160.873275500686,1544,221,0.618263625,11662,1.0e7,false
5,2,true,48,26,36160.87327550063,1552,254,0.573585542,11662,1.0e7,false
5,2,true,48,27,36160.87327550063,1559,229,0.616952042,11662,1.0e7,false
5,2,true,48,28,36160.87327550064,1566,232,0.564256459,11662,1.0e7,false
5,2,true,48,29,36160.87327550065,1574,235,0.572225083,11662,1.0e7,false
5,2,true,48,30,36160.873275500635,1579,242,0.695143375,11662,1.0e7,false
5,2,true,48,31,36160.873275500664,1582,234,0.575471833,11662,1.0e7,false
5,2,true,48,32,36160.87327550063,1589,245,0.561148834,11662,1.0e7,false
5,2,true,48,33,36160.873275500664,1603,224,0.432381833,11662,1.0e7,false
5,2,true,48,34,36160.873275500635,1613,231,0.409987833,11662,1.0e7,false
5,2,true,48,35,36160.87327550066,1625,219,0.53222175,11662,1.0e7,false
5,2,true,48,36,36160.873275500635,1639,218,0.525400875,11662,1.0e7,false
5,2,true,48,37,36160.87327550064,1655,246,0.470543291,11662,1.0e7,false
5,2,true,48,38,36160.87327550064,1661,249,0.625497334,11662,1.0e7,false
5,2,true,48,39,36160.873275500664,1668,229,0.547429084,11662,1.0e7,false
5,2,true,48,40,36160.87327550065,1679,230,0.451676584,11662,1.0e7,false
5,2,true,48,41,36160.87327550066,1691,224,0.561743083,11662,1.0e7,false
5,2,true,48,42,36160.873275500606,1700,235,0.441584375,11662,1.0e7,false
5,2,true,48,43,36160.87327550063,1707,233,0.523787,11662,1.0e7,false
5,2,true,48,44,36160.87327550065,1712,236,0.514174125,11662,1.0e7,false
5,2,true,48,45,36160.87327550062,1720,227,0.451503041,11662,1.0e7,false
5,2,true,48,46,36160.87327550062,1728,225,0.511159,11662,1.0e7,false
5,2,true,48,47,36160.87327550068,1732,238,0.674099917,11662,1.0e7,false
5,2,true,48,48,36160.873275500635,1737,246,0.523932333,11662,1.0e7,false
5,2,true,48,49,36160.873275500686,1742,247,0.55030825,11662,1.0e7,false
5,2,true,48,50,36160.873275500635,1742,230,0.468615625,11662,1.0e7,false
5,2,true,48,51,36160.87327550066,1746,232,0.557965917,11662,1.0e7,false
5,2,true,48,52,36160.87327550066,1759,232,0.510543667,11662,1.0e7,false
5,2,true,48,53,36160.87327550062,1760,241,0.629802708,11662,1.0e7,false
5,2,true,48,54,36160.87327550067,1763,247,0.541227792,11662,1.0e7,false
5,2,true,48,55,36160.87327550068,1768,229,0.611193,11662,1.0e7,false
5,2,true,48,56,36160.87327550067,1772,224,0.508188792,11662,1.0e7,false
5,2,true,48,57,36160.87327550064,1773,230,0.542600125,11662,1.0e7,false
5,2,true,48,58,36160.87327550066,1775,230,0.52341925,11662,1.0e7,false
5,2,true,48,59,36160.87327550066,1775,237,0.543356583,11662,1.0e7,false
5,4,true,96,1,32874.594049299296,773,338,0.210567125,46075,1.0e7,false
5,4,true,96,2,32874.31522496504,720,349,0.383874792,43650,1.0e7,false
5,4,true,96,3,32874.31522496503,1142,340,0.294450541,42001,1.0e7,false
5,4,true,96,4,32874.31522496504,1560,357,0.445117583,45784,1.0e7,false
5,4,true,96,5,32874.31522496503,1905,389,0.770308542,45881,1.0e7,false
5,4,true,96,6,32874.315224965074,2269,393,1.280100375,45881,1.0e7,false
5,4,true,96,7,32874.31522496503,2621,402,1.072569458,45881,1.0e7,false
5,4,true,96,8,32874.315224965,2826,400,1.515980792,45881,1.0e7,false
5,4,true,96,9,32874.31522496503,2925,426,2.335970833,45881,1.0e7,false
5,4,true,96,10,32874.315224965016,3261,425,1.723259959,45881,1.0e7,false
5,4,true,96,11,32874.315224965074,3449,432,1.882282834,45881,1.0e7,false
5,4,true,96,12,32874.31522496507,3611,457,3.81433275,45978,1.0e7,false
5,4,true,96,13,32874.31522496501,3687,469,3.4209585,45881,1.0e7,false
5,4,true,96,14,32874.31522496504,3699,431,2.442773417,45881,1.0e7,false
